id,target,tweets,gender,title,category
283,The Obama administration,1,n,,groups and political organizations
284,Pundits,1,n,,groups and political organizations
285,Republican Party,1,n,political party,groups and political organizations
286,Other Republican candidates,1,n,,groups and political organizations
287,“Super PACs”,1,n,political fund-raising committees,groups and political organizations
288,Washington insiders,1,n,,groups and political organizations
289,Lincoln Chafee,1,m,former rhode island governor,democratic presidential candidates
290,Joseph R. Biden Jr.,1,m,vice president of the united states,democratic politicians
291,Ben Cardin,1,m,united states senator,democratic politicians
292,Bill and Hillary Clinton,1,n,,democratic politicians
293,Sam Liccardo,1,m,"mayor of san jose, calif.",democratic politicians
294,Stephanie Rawlings-Blake,1,m,mayor of baltimore,democratic politicians
295,Bakari Sellers,1,m,former south carolina congressman,democratic politicians
296,Marty Walsh,1,m,mayor of boston,democratic politicians
297,Chuck Schumer,1,m,united states senator,democratic politicians
298,Woody Johnson,1,m,"owner, the new york jets",celebrities
299,John Oliver,1,m,"comedian, host, “last week tonight”",celebrities
300,Ronda Rousey,1,f,mixed martial artist,celebrities
301,Paulina Vega,1,f,former miss universe,celebrities
302,Neil Young,1,m,musician,celebrities
303,Arnold Schwarzenegger,1,m,actor and former governor of california,celebrities
304,Common Core standards,1,n,education policy,other
